2025-12-22 15:01:32,256.5MiB / 7.654GiB,3.27%,97.79%,91.5MB / 41.8MB,162MB / 78.3MB
2025-12-22 15:01:44,257.8MiB / 7.654GiB,3.29%,95.12%,91.6MB / 41.9MB,162MB / 78.4MB
2025-12-22 15:01:56,256.6MiB / 7.654GiB,3.27%,96.51%,91.8MB / 41.9MB,162MB / 78.4MB
2025-12-22 15:02:07,256.7MiB / 7.654GiB,3.28%,105.16%,92MB / 42MB,162MB / 78.4MB
2025-12-22 15:02:19,256.9MiB / 7.654GiB,3.28%,101.45%,92.2MB / 42.1MB,162MB / 78.4MB
2025-12-22 15:02:31,257.1MiB / 7.654GiB,3.28%,103.03%,92.3MB / 42.2MB,162MB / 78.4MB
2025-12-22 15:02:43,257.4MiB / 7.654GiB,3.28%,93.28%,92.5MB / 42.3MB,162MB / 78.4MB
2025-12-22 15:02:55,257.4MiB / 7.654GiB,3.28%,99.87%,92.6MB / 42.3MB,162MB / 78.4MB
2025-12-22 15:03:06,257.5MiB / 7.654GiB,3.29%,95.30%,92.8MB / 42.4MB,162MB / 78.4MB
2025-12-22 15:03:18,257.7MiB / 7.654GiB,3.29%,96.14%,92.9MB / 42.5MB,162MB / 78.4MB
2025-12-22 15:03:30,259.1MiB / 7.654GiB,3.31%,89.66%,93.1MB / 42.5MB,162MB / 78.4MB
2025-12-22 15:03:41,258.5MiB / 7.654GiB,3.30%,95.67%,93.2MB / 42.6MB,162MB / 78.4MB
2025-12-22 15:03:53,256.5MiB / 7.654GiB,3.27%,101.15%,93.4MB / 42.7MB,162MB / 79.2MB
2025-12-22 15:04:05,256.7MiB / 7.654GiB,3.27%,96.87%,93.6MB / 42.8MB,162MB / 79.2MB
2025-12-22 15:04:16,254.8MiB / 7.654GiB,3.25%,99.46%,93.8MB / 42.9MB,162MB / 82.1MB
2025-12-22 15:04:28,256.9MiB / 7.654GiB,3.28%,89.62%,93.9MB / 43MB,162MB / 82.1MB
2025-12-22 15:04:40,255.1MiB / 7.654GiB,3.26%,99.58%,94.1MB / 43MB,162MB / 82.1MB
2025-12-22 15:04:51,253.9MiB / 7.654GiB,3.24%,98.98%,94.3MB / 43.1MB,162MB / 82.3MB
2025-12-22 15:05:03,252.1MiB / 7.654GiB,3.22%,93.16%,94.4MB / 43.1MB,163MB / 84.6MB
2025-12-22 15:05:15,252.3MiB / 7.654GiB,3.22%,95.88%,94.5MB / 43.2MB,163MB / 84.6MB
2025-12-22 15:05:27,252.4MiB / 7.654GiB,3.22%,96.02%,94.7MB / 43.3MB,163MB / 84.6MB
2025-12-22 15:05:38,252.6MiB / 7.654GiB,3.22%,101.31%,94.9MB / 43.4MB,163MB / 84.7MB
2025-12-22 15:05:50,252.8MiB / 7.654GiB,3.23%,98.41%,95MB / 43.5MB,163MB / 84.7MB
2025-12-22 15:06:02,252.9MiB / 7.654GiB,3.23%,86.14%,95.2MB / 43.5MB,163MB / 84.7MB
2025-12-22 15:06:14,253.3MiB / 7.654GiB,3.23%,97.96%,95.3MB / 43.6MB,163MB / 84.7MB
2025-12-22 15:06:25,254.3MiB / 7.654GiB,3.24%,97.45%,95.5MB / 43.7MB,163MB / 84.7MB
2025-12-22 15:06:37,253.6MiB / 7.654GiB,3.24%,99.25%,95.6MB / 43.7MB,163MB / 84.7MB
2025-12-22 15:06:49,253.5MiB / 7.654GiB,3.23%,94.64%,95.8MB / 43.8MB,163MB / 84.7MB
2025-12-22 15:07:01,253.7MiB / 7.654GiB,3.24%,98.77%,95.9MB / 43.8MB,163MB / 84.7MB
2025-12-22 15:07:13,253.9MiB / 7.654GiB,3.24%,101.15%,96.1MB / 43.9MB,163MB / 84.7MB
2025-12-22 15:07:25,255.9MiB / 7.654GiB,3.27%,96.14%,96.3MB / 44MB,163MB / 84.7MB
2025-12-22 15:07:37,255.4MiB / 7.654GiB,3.26%,100.80%,96.5MB / 44.1MB,163MB / 84.8MB
2025-12-22 15:07:48,254.4MiB / 7.654GiB,3.25%,102.26%,96.6MB / 44.2MB,163MB / 84.8MB
2025-12-22 15:08:00,256.6MiB / 7.654GiB,3.27%,101.49%,96.7MB / 44.2MB,163MB / 84.8MB
2025-12-22 15:08:11,254.7MiB / 7.654GiB,3.25%,94.74%,96.9MB / 44.3MB,163MB / 84.8MB
2025-12-22 15:08:23,254.9MiB / 7.654GiB,3.25%,103.90%,97MB / 44.4MB,163MB / 84.8MB
