timestamp,minutes_elapsed,cpu_percent,memory_mb,memory_limit_mb,memory_percent,net_io,block_io
2025-12-23 12:30:24,69,99.46,216.4,7837.7,,,
2025-12-23 12:30:37,70,96.19,216.5,7837.7,,,
2025-12-23 12:30:48,70,100.24,216.6,7837.7,,,
2025-12-23 12:31:00,70,102.17,216.7,7837.7,,,
2025-12-23 12:31:11,70,94.64,217.2,7837.7,,,
2025-12-23 12:31:23,70,98.26,217.4,7837.7,,,
2025-12-23 12:31:35,71,96.85,217.5,7837.7,,,
2025-12-23 12:31:47,71,96.99,217.4,7837.7,,,
2025-12-23 12:31:59,71,103.86,217.8,7837.7,,,
2025-12-23 12:32:10,71,93.80,217.7,7837.7,,,
2025-12-23 12:32:22,71,94.52,218,7837.7,,,
2025-12-23 12:32:34,72,87.77,218.1,7837.7,,,
2025-12-23 12:32:47,72,96.79,218.4,7837.7,,,
2025-12-23 12:32:58,72,101.05,218.6,7837.7,,,
2025-12-23 12:33:10,72,93.29,218.7,7837.7,,,
2025-12-23 12:33:21,72,96.81,218.9,7837.7,,,
2025-12-23 12:33:33,73,86.99,219,7837.7,,,
2025-12-23 12:33:44,73,94.57,220.1,7837.7,,,
2025-12-23 12:33:57,73,99.41,219.7,7837.7,,,
2025-12-23 12:34:08,73,97.50,219.8,7837.7,,,
2025-12-23 12:34:20,73,100.03,220,7837.7,,,
2025-12-23 12:34:31,73,95.22,220.1,7837.7,,,
2025-12-23 12:34:43,74,102.26,222.3,7837.7,,,
2025-12-23 12:34:55,74,85.29,220.2,7837.7,,,
2025-12-23 12:35:07,74,99.75,219.4,7837.7,,,
2025-12-23 12:35:18,74,101.62,222.8,7837.7,,,
2025-12-23 12:35:30,74,97.52,219.8,7837.7,,,
2025-12-23 12:35:41,75,104.33,220.5,7837.7,,,
2025-12-23 12:35:53,75,95.72,220.6,7837.7,,,
2025-12-23 12:36:06,75,99.58,221.4,7837.7,,,
2025-12-23 12:36:17,75,91.92,221.7,7837.7,,,
2025-12-23 12:36:29,75,101.10,221.9,7837.7,,,
2025-12-23 12:36:40,76,100.79,221.8,7837.7,,,
2025-12-23 12:36:52,76,95.97,222.1,7837.7,,,
2025-12-23 12:37:04,76,109.92,222.3,7837.7,,,
2025-12-23 12:37:16,76,88.81,222.5,7837.7,,,
2025-12-23 12:37:27,76,102.26,222.6,7837.7,,,
2025-12-23 12:37:39,77,103.98,222.5,7837.7,,,
2025-12-23 12:37:51,77,94.63,222.7,7837.7,,,
2025-12-23 12:38:02,77,100.76,223.1,7837.7,,,
2025-12-23 12:38:15,77,91.35,223.2,7837.7,,,
2025-12-23 12:38:27,77,96.77,223.2,7837.7,,,
2025-12-23 12:38:38,78,96.06,223.4,7837.7,,,
2025-12-23 12:38:50,78,98.44,223.6,7837.7,,,
2025-12-23 12:39:01,78,104.24,225.3,7837.7,,,
2025-12-23 12:39:13,78,96.08,224.1,7837.7,,,
2025-12-23 12:39:26,78,118.88,224.5,7837.7,,,
2025-12-23 12:39:37,79,94.14,224.4,7837.7,,,
2025-12-23 12:39:49,79,96.52,224.6,7837.7,,,
2025-12-23 12:40:00,79,108.52,224.5,7837.7,,,
2025-12-23 12:40:12,79,95.43,224.7,7837.7,,,
2025-12-23 12:40:25,79,99.26,224.8,7837.7,,,
2025-12-23 12:40:37,80,88.01,225.3,7837.7,,,
2025-12-23 12:40:48,80,100.76,225.5,7837.7,,,
2025-12-23 12:41:00,80,98.77,225.4,7837.7,,,
2025-12-23 12:41:11,80,93.78,225.7,7837.7,,,
2025-12-23 12:41:23,80,100.65,225.7,7837.7,,,
2025-12-23 12:41:36,81,91.92,225.9,7837.7,,,
2025-12-23 12:41:47,81,97.91,226,7837.7,,,
2025-12-23 12:41:59,81,104.43,226.1,7837.7,,,
2025-12-23 12:42:10,81,89.52,226.6,7837.7,,,
2025-12-23 12:42:22,81,107.27,226.5,7837.7,,,
2025-12-23 12:42:35,82,99.27,226.6,7837.7,,,
2025-12-23 12:42:47,82,101.50,226.9,7837.7,,,
2025-12-23 12:42:58,82,102.82,227,7837.7,,,
2025-12-23 12:43:10,82,101.58,226.5,7837.7,,,
2025-12-23 12:43:22,82,97.44,226.7,7837.7,,,
2025-12-23 12:43:33,83,94.01,226.8,7837.7,,,
2025-12-23 12:43:46,83,99.53,227.1,7837.7,,,
2025-12-23 12:43:57,83,89.49,227.8,7837.7,,,
2025-12-23 12:44:09,83,93.69,229.3,7837.7,,,
2025-12-23 12:44:20,83,102.04,228.1,7837.7,,,
2025-12-23 12:44:32,84,82.40,228.3,7837.7,,,
2025-12-23 12:44:45,84,102.79,230.1,7837.7,,,
2025-12-23 12:44:56,84,89.95,228.8,7837.7,,,
2025-12-23 12:45:08,84,96.50,228.8,7837.7,,,
2025-12-23 12:45:19,84,101.42,227.9,7837.7,,,
2025-12-23 12:45:31,84,101.92,227.1,7837.7,,,
2025-12-23 12:45:43,85,100.29,228.8,7837.7,,,
2025-12-23 12:45:55,85,86.07,229.4,7837.7,,,
2025-12-23 12:46:07,85,105.84,229.5,7837.7,,,
2025-12-23 12:46:18,85,102.59,229.7,7837.7,,,
2025-12-23 12:46:30,85,93.96,229.3,7837.7,,,
2025-12-23 12:46:41,86,100.31,229,7837.7,,,
2025-12-23 12:46:53,86,98.36,229.2,7837.7,,,
2025-12-23 12:47:06,86,94.21,229.3,7837.7,,,
2025-12-23 12:47:17,86,100.84,229.6,7837.7,,,
2025-12-23 12:47:29,86,101.48,228.7,7837.7,,,
2025-12-23 12:47:40,87,94.41,230.1,7837.7,,,
2025-12-23 12:47:52,87,98.36,230.4,7837.7,,,
